	Downloaded studies			
	Authors	Title	Year	Publisher
1	PH Vilela, JJPC Rodrigues, P Solic, K Saleem…	Performance evaluation of a Fog-assisted IoT solution for e-Health applications	2019	Elsevier
2	T Umer, MH Rehmani, AE Kamal, L Mihaylova	Information and resource management systems for Internet of Things: Energy management, communication protocols and future applications	2019	Elsevier
3	P Asghari, AM Rahmani, HHS Javadi	Internet of Things applications: A systematic review	2019	Elsevier
4	F Terroso-Saenz, A González-Vidal…	An open IoT platform for the management and analysis of energy data	2019	Elsevier
5	CTA Lai, W Jiang, PR Jackson	Internet of Things enabling condition-based maintenance in elevators service	2019	emeraldinsight.com
6	O Alrawi, C Lever, M Antonakakis…	Sok: Security evaluation of home-based iot deployments	2019	ieeexplore.ieee.org
7	JY Yu, YG Kim	Analysis of IoT Platform Security: A Survey	2019	ieeexplore.ieee.org
8	S Liu, L Guo, H Webb, X Ya, X Chang	Internet of Things Monitoring System of Modern Eco-Agriculture Based on Cloud Computing	2019	ieeexplore.ieee.org
9	S Lee, G Lee, G Choi, B Roh…	Integration of OneM2M-based IoT Service Platform and Mixed Reality Device	2019	ieeexplore.ieee.org
10	Y Uehara, S Ohtake	Factory Environment Monitoring: A Japanese Tea Manufacturer's Case	2019	ieeexplore.ieee.org
11	A López-Vargas, M Fuentes, M Vivar	IoT Application for Real-Time Monitoring of Solar Home Systems Based on Arduino™ With 3G Connectivity	2019	ieeexplore.ieee.org
12	C Kamienski, JP Soininen, M Taumberger, R Dantas…	Smart Water Management Platform: IoT-Based Precision Irrigation for Agriculture	2019	mdpi.com
13	H Hassani, X Huang, E Silva	Big Data and Climate Change	2019	mdpi.com
14	JM Paredes-Parra, AJ García-Sánchez, A Mateo-Aroca…	An Alternative Internet-of-Things Solution Based on LoRa for PV Power Plants: Data Monitoring and Management	2019	mdpi.com
15	P Sotres, J Lanza, L Sánchez, JR Santana, C López…	Breaking Vendors and City Locks through a Semantic-enabled Global Interoperable Internet-of-Things System: A Smart Parking Case	2019	mdpi.com
16	M Wydra, P Kubaczynski, K Mazur, B Ksiezopolski	Time-Aware Monitoring of Overhead Transmission Line Sag and Temperature with LoRa Communication	2019	mdpi.com
17	Y Goyal, S Buragohain, K Srihari, AK Singh	Fleet Tracking Using Internet of Things	2019	Springer
18	KN Sharma, N Rai, M Tamang, J Basumataray…	IoT-Based Smart Home	2019	Springer
19	D Singh, A Nandgaonkar	IOT-Based Wi-Fi Surveillance Robot with Real-Time Audio and Video Streaming	2019	Springer
20	Z Nasroollah, I Moonsamy, Y Chuttur	A Cloud-Based Energy Monitoring System Using IoT and Machine Learning	2019	Springer
21	O Briante, F Cicirelli, A Guerrieri, A Iera…	A Social and Pervasive IoT Platform for Developing Smart Environments	2019	Springer
22	S Vitabile, M Marks, D Stojanovic, S Pllana…	Medical Data Processing and Analysis for Remote Health and Activities Monitoring	2019	Springer
23	R Singh, G Anita, S Capoor, G Rana, R Sharma…	Internet of Things Enabled Robot Based Smart Room Automation and Localization System	2019	Springer
24	S Kuila, N Dhanda, S Joardar, S Neogy	Analytical Survey on Standards of Internet of Things Framework and Platforms	2019	Springer
25	YH Lin	Novel smart home system architecture facilitated with distributed and embedded flexible edge analytics in demand‐side management	2019	Wiley Online Library
26	ALM Silva, JJ Pérez‐Alcázar…	Interoperability in semantic Web of Things: Design issues and solutions	2019	Wiley Online Library
27	C Pham, M Diop	Deploying low-cost, long-range innovative IoT with the WAZIUP IoT/gateway framework.	2018	dl.acm.org
28	S Hossain, A Abdelgawad	Smart Refrigerator Based on Internet of Things (IoT): An Approach to Efficient Food Management	2018	dl.acm.org
29	MH Mofrad, D Mosse	Speech recognition and voice separation for the internet of things	2018	dl.acm.org
30	G Kaur, PS Pandey	Emotion Recognition System using IOT and Machine Learning-A Healthcare Application	2018	dl.acm.org
31	CT Lee, YH Liang, PH Chou, AH Gorji…	EcoMicro: A Miniature Self-Powered Inertial Sensor Node Based on Bluetooth Low Energy	2018	dl.acm.org
32	I Zyrianoff, A Heideker, D Silva…	Scalability of an Internet of Things Platform for Smart Water Management for Agriculture	2018	dl.acm.org
33	Y Li, P Lin, H Zhou, Z Chen, L Wu, S Cheng, F Su	On-line Monitoring System Based on Open Source Platform for Photovoltaic Array	2018	Elsevier
34	I Thomas, S Kikuchi, E Baccelli, K Schleiser, J Doerr…	Design and implementation of a platform for hyperconnected cyber physical systems	2018	Elsevier
35	BSS Tejesh, S Neeraja	Warehouse inventory management system using IoT and open source framework	2018	Elsevier
36	T Hasegawa	Toward the mobility-oriented heterogeneous transport system based on new ICT environments–Understanding from a viewpoint of the systems innovation …	2018	Elsevier
37	C Tong, X Yin, J Li, T Zhu, R Lv, L Sun…	An innovative deep architecture for aircraft hard landing prediction based on time-series sensor data	2018	Elsevier
38	M Dimitris, V Ekaterini, V Zogopoulos	An IoT-based Platform for Automated Customized Shopping in Distributed Environments	2018	Elsevier
39	K Gunasekera, AN Borrero, F Vasuian…	Experiences in building an IoT infrastructure for agriculture education	2018	Elsevier
40	P Asghari, AM Rahmani, HHS Javadi	Service composition approaches in IoT: A systematic review	2018	Elsevier
41	MG Asinelli, MS Serra, JM Marimòn, JS Espaulella	The smARTS_Museum_V1: An open hardware device for remote monitoring of Cultural Heritage indoor environments	2018	Elsevier
42	A De Silva, WHP Sampath, NHL Sameera…	Development of a novel telecare system, integrated with plantar pressure measurement system	2018	Elsevier
43	I Zolotová, P Papcun, E Kajáti, M Miškuf…	Smart and cognitive solutions for Operator 4.0: Laboratory H-CPPS case studies	2018	Elsevier
44	A Singh, D Kumar, J Hoetzel	IoT Based information and communication system for enhancing underground mines safety and productivity: Genesis, taxonomy and open issues	2018	Elsevier
45	R Sanchez-Iborra, J Sanchez-Gomez…	Evolving IoT networks by the confluence of MEC and LP-WAN paradigms	2018	Elsevier
46	S Paiho, H Saastamoinen	How to develop district heating in Finland?	2018	Elsevier
47	MAA da Cruz, JJPC Rodrigues, AK Sangaiah…	Performance evaluation of IoT middleware	2018	Elsevier
