;Studies that proposed open IoT platforms ;;;;;;;;;;;;;;;;;;;;;;
;Authors;Title;Year;Publisher;;;;;;;;;;;;;;;;;;;
1;S Kianoush, M Raja, S Savazzi…;A cloud-IoT platform for passive radio sensing: Challenges and application case studies;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;
2;J Rafferty, J Synnott, CD Nugent, A Ennis…;A Scalable, Research Oriented, Generic, Sensor Data Platform;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;
3;I Andreev;Advanced open IoT platform for prevention and early detection of forest fires;2018;Springer;;;;;;;;;;;;;;;;;;;
4;X Liu, PS Nielsen;Air quality monitoring system and benchmarking;2017;Springer;;;;;;;;;;;;;;;;;;;
5;C Pham, M Diop;Demo - WAZIUP, an Open and Versatile Long-range IoT Framework to Fully Take Advantage of the Cloudification of the IoT;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;
6;F Terroso-Saenz, A González-Vidal…;An open IoT platform for the management and analysis of energy data;2019;Elsevier;;;;;;;;;;;;;;;;;;;
7;A Karpenko, T Kinnunen, M Madhikermi, J Robert…;Data Exchange Interoperability in IoT Ecosystem for Smart Parking and EV Charging;2018;mdpi.com;;;;;;;;;;;;;;;;;;;
8;S Oh, J Kim;Development of collaboration system for enterprise based on the IoT;2016;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;
9;SMS Zabir, P Yoosook, C Khamsaeng…;DHEA: A dynamic hierarchical edge architecture for a participatory approach toward IoT evolution;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;
10;JH Jeon, KH Kim, JH Kim;Block chain based data security enhanced IoT server platform;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;
11;H Mano;EverySense: An end-to-end IoT market platform;2016;dl.acm.org;;;;;;;;;;;;;;;;;;;
12;L Ciabattoni, F Ferracuti, G Ippoliti…;IoT based indoor personal comfort levels monitoring;2016;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;
13;C Dupont, M Sheikhalishahi…;IoT, big data, and cloud platform for rural African needs;2017;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;
14;H Lee, D Sin, E Park, I Hwang…;Open software platform for companion IoT devices;2017;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;
15;DH Park, HC Bang, CS Pyo…;Semantic open IoT service platform technology;2014;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;
16;MH Mofrad, D Mosse;Speech recognition and voice separation for the internet of things;2018;dl.acm.org;;;;;;;;;;;;;;;;;;;
17;J Soldatos, N Kefalakis, M Hauswirth…;Openiot: Open source internet-of-things in the cloud;2015;Springer;;;;;;;;;;;;;;;;;;;
18;C Jinbo, Z Yu, A Lam;Research on Monitoring Platform of Agricultural Product Circulation Efficiency Supported by Cloud Computing;2018;Springer;;;;;;;;;;;;;;;;;;;
19;C Kamienski, JP Soininen, M Taumberger, R Dantas…;Smart Water Management Platform: IoT-Based Precision Irrigation for Agriculture;2019;mdpi.com;;;;;;;;;;;;;;;;;;;
20;C Pham, F Ferrero, M Diop, L Lizzi…;Low-cost antenna technology for LPWAN IoT in rural applications;2017;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;
21;S Meiling, D Purnomo, JA Shiraishi…;MONICA in Hamburg: Towards Large-Scale IoT Deployments in a Smart City;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;
22;C Badii, EG Belay, P Bellini, M Marazzini…;Snap4City: A Scalable IOT/IOE Platform for Developing Smart City Applications;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;
23;A Parise, MA Manso-Callejo, H Cao, M Mendonca…;Indoor Occupancy Prediction using an IoT Platform;2019;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;
24;L De Nardis, G Caso, MGD Benedetto;ThingsLocate: A ThingSpeak-Based Indoor Positioning Platform for Academic Research on Location-Aware Internet of Things;2019;mdpi.com;;;;;;;;;;;;;;;;;;;
25;L Calderoni, A Magnani, D Maio;IoT Manager: An open-source IoT framework for smart cities;2019;Elsevier;;;;;;;;;;;;;;;;;;;
26;L Calderoni, A Magnani, D Maio;IoT Manager: a Case Study of the Design and Implementation of an Open Source IoT Platform;2019;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;
27;G Larini, G Romano, M Falcitelli, S Noto…;Autonomous Driving Progressed by oneM2M: The Experience of the AUTOPILOT Project;2019;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;
28;A Rassa, C van Leeuwen, R Spaans…;Developing local energy markets: a holistic system approach;2019;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
