;Studies that used open IoT platforms ;;;;;;;;;;;;;;;;;;;;;;;;
;Authors;Title;Year;Publisher;;;;;;;;;;;;;;;;;;;;;
1;F Montori, L Bedogni, L Bononi;A collaborative internet of things architecture for smart cities and environmental monitoring;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
2;J Yun, IY Ahn, NM Sung, J Kim;A device software platform for consumer electronics based on the Internet of Things;2015;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
3;MHY Moghaddam…;A fog-based internet of energy architecture for transactive energy management systems;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
4;Y Uehara, S Ohtake, T Fukura;A mash temperature monitoring system for sake brewing;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
5;HA Tran, QT Ngo, V Tong;A new fall detection system on android smartphone: Application to a SDN-based IoT system;2017;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
6;NI Jaya, MF Hossain;A Prototype Air Flow Control System for Home Automation Using MQTT Over Websocket in AWS IoT Core;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
7;M Subhedar, V Jadhav, S Tekade…;A Real Time Healthcare Monitoring System Based on Open Source IoT and ANFIS;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
8;A Saokaew, O Chieochan…;A smart photovoltaic system with Internet of Thing: A case study of the smart agricultural greenhouse;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
9;S Gutiérrez, E Barrientos, J Alvarez…;An Integrated Architecture for Monitoring and Control the Temperature of Different Platforms Based on Internet of Things;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
10;A Staiano, F Inneguale;An RBF neural network-based system for home smart metering;2017;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
11;O Elijah, TA Rahman, HC Yeen…;Application of UAV and Low Power Wide Area Communication Technology for Monitoring of River Water Quality;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
12;S Dyaneshwar, K Monica, G Jaiyashri…;Cloud Assisted Recovery Scheme for Compressively Sensed Medical Sensor Data;2018;ieeexplore.ieee.org;;;;;;;;;;;;;;;;;;;;;
13;JM Ibrahim, A Karami, F Jafari;A Secure Smart Home using Internet-of-Things;2017;dl.acm.org;;;;;;;;;;;;;;;;;;;;;
